Year,AC_No,AC_Name,AC_Type,Cand,Sex,Party,Turnout
2002,166,BARDOLI,ST,ANILKUMAR_MOHANBHAI_PATEL_(RATHOD),M,INC,62.53
2002,147,BARODA_CITY,GEN,BHUPENDRA_LAKHAWALA,M,BJP,61.24
2002,151,BARODA_RURAL,GEN,DILUBHA_CHUDASAMA,M,BJP,63.2
2002,61,BAVLA,SC,LAKUM_KANTIBHAI_RAMABHAI,M,BJP,57.3
2002,109,BAYAD,GEN,SOLANKI_RAMSINHJI_RUPSINHJI,M,INC,72.79
2002,139,BHADRAN,GEN,PARMAR_RAJENDRASINH_DHIRSINH,M,INC,65.79
2002,29,BHANVAD,GEN,MADAM_VIKRAMBHAI_ARJANBHAI,M,INC,69.72
2002,57,BHAVNAGAR_NORTH,GEN,TRIVEDI_MAHENDRABHAI_SHANTIBHAI_(MAHENDRA,M,BJP,50.34
2002,58,BHAVNAGAR_SOUTH,GEN,OZA_SUNIL_BALKRISHNABHAI,M,BJP,54.65
2002,105,BHILODA,GEN,DR._ANIL_JOSHIYARA,M,INC,63.18
2002,3,BHUJ,GEN,AHIR_SHIVJIBHAI_KARSHANBHAI,M,INC,64.26
2002,138,BORSAD,GEN,SOLANKI_BHARATBHAI_MADHAVSINH,M,INC,68.67
2002,49,BOTAD,GEN,SAURABH_PATEL,M,BJP,66.89
2002,156,BROACH,GEN,MISTRY_RAMESHBHAI_NARANDAS,M,BJP,70.09
2002,178,BULSAR,GEN,DESAI_DOLATRAI_NATHUBHAI,M,BJP,58.79
2002,140,CAMBAY,GEN,SHUKAL_SHIRISHKUMAR_MADHUSUDAN,M,BJP,65.62
2002,132,CHAKALASI,GEN,VAGHELA_SHANKERBHAI_DESAIBHAI,M,INC,66.68
2002,92,CHANASMA,GEN,DESAI_MALAJIBHAI_DEVAJIBHAI,M,INC,72.7
2002,141,CHHOTA_UDAIPUR,ST,RATHWA_SHANKARBHAI_VICHHIYABHAI,M,BJP,60.39
2002,176,CHIKHLI,ST,BHARTIBEN_NARDEVBHAI_PATEL,F,INC,67.03
2002,172,CHORASI,GEN,NAROTTAMBHAI_PATEL,M,BJP,35.67
2002,10,CHOTILA,GEN,JINJARIYA_POPATBHAI_SAVSIBHAI,M,IND,55.15
2002,145,DABHOI,GEN,PATEL_CHANDRAKANT_MOTIBHAI_(PROF._C._M._PATEL),M,BJP,69.86
2002,177,DANGS-BANSDA,ST,BHOYE_MADHUBHAI_JELIYABHAI,M,INC,55.91
2002,102,DANTA,GEN,GADHVI_MUKESHKUMAR_BHAIRAVDANJI,M,INC,65.65
2002,69,DARIAPUR-KAZIPUR,GEN,BAROT_BHARATKUMAR_CHIMANLAL_(BHARAT_BAROT),M,BJP,53.22
2002,7,DASADA,SC,MAKWANA_MANAHARLAL_MAGANLAL,M,INC,66.28
2002,65,DASKROI,GEN,PATEL_BABUBHAI_JAMNADAS,M,BJP,60.23
2002,159,DEDIAPADA,ST,MAHESHBHAI_CHHOTUBHAI_VASAVA,M,JD(U),67.63
2002,98,DEESA,GEN,RABARI_GOVABHAI_HAMIRABHAI,M,INC,70.57
2002,66,DEHGAM,GEN,JAGDISH_THAKOR,M,INC,67.52
2002,96,DEODAR,GEN,PATEL_BHEMABHAI_RAMSINGBHAI,M,IND,72.87
2002,116,DEVGADH_BARIA,GEN,BACHUBHAI_KHABAD,M,BJP,67.05
2002,59,DHANDHUKA,GEN,BHARATBHAI_BALDEVBHAI_PANDYA,M,BJP,56.97
2002,99,DHANERA,GEN,PATEL_HARJIVANBHAI_HIRABHAI,M,BJP,68.01
2002,179,DHARAMPUR,ST,KISHANBHAI_VESTABHAI_PATEL,M,INC,67.98
2002,46,DHARI,GEN,BALUBHAI_JIVRAJBHAI_TANTI,M,BJP,58.2
2002,60,DHOLKA,GEN,CHUDASAMA_BHUPENDRASINH,M,BJP,62.61
2002,22,DHORAJI,GEN,RADADIYA_VITHALBHAI_HANSRAJBHAI,M,INC,66.59
2002,12,DHRANGADHRA,GEN,INDRAVIJAYSINH_(I.K.)_JADEJA,M,BJP,71.16
2002,114,DOHAD,ST,DAMOR_TERSINHBHAI_BADIYABHAI,M,BJP,52.37
2002,31,DWARKA,GEN,MANEK_PABUBHA_VIRAMBHA,M,INC,61.39
2002,68,ELLIS_BRIDGE,GEN,SHETH_BHAVINBHAI_NALINIBHAI_(ENGINEER),M,BJP,48.46
2002,50,GADHADA,SC,MARU_PRAVINBHAI_TIDABHAI,M,INC,58.42
2002,175,GANDEVI,GEN,KARSANBHAI_BHIKHABHAI_PATEL,M,BJP,65.41
2002,79,GANDHINAGAR,GEN,DR._C._J._CHAVDA,M,INC,61.38
2002,56,GHOGHO,GEN,SOLANKI_PARSOTTAM_O.,M,BJP,56.57
2002,120,GODHRA,GEN,BHATT_HARESHKUMAR_INDUPRASAD,M,BJP,68.52
2002,20,GONDAL,GEN,JAYRAJSINH_TEMUBHA_JADEJA,M,BJP,60.79
2002,118,HALOL,GEN,PARMAR_JAYADRATHSINHJEE_CHANDRASINHJEE,M,BJP,69.25
2002,11,HALVAD,GEN,KAVADIYA_JAYANTILAL_RAMJIBHAI,M,BJP,72.52
2002,106,HIMATNAGAR,GEN,CHAVADA_RANJITSINH_NARSINH,M,BJP,67.35
2002,104,IDAR,SC,VORA_RAMANLAL_ISHWARLAL,M,BJP,70.04
2002,173,JALALPORE,GEN,R.C._PATEL,M,BJP,62.5
2002,76,JAMALPUR,GEN,DEVADIWALA_USMANGANI_ISMAILBHAI,M,INC,60.06
2002,154,JAMBUSAR,GEN,MORI_CHHATRASINH_PUJABHAI,M,BJP,69.31
2002,28,JAMJODHPUR,GEN,CHIMANLAL_DHARAMSINHBHAI_SAPARIA,M,BJP,70.78
2002,25,JAMNAGAR,GEN,TRIVEDI_VASUBEN_NARENDRA,F,BJP,49.85
2002,26,JAMNAGAR_RURAL,SC,DR._DINESH_PARMAR,M,INC,44.45
2002,16,JASDAN,GEN,KUNVARJIBHAI_MOHANBHAI_BAVALIYA,M,INC,77.56
2002,21,JETPUR,GEN,KORAT_JASHUBEN_SAVAJIBHAI,F,BJP,60.44
2002,142,JETPUR-I,GEN,BARIA_VECHATBHAI_HAMIRBHAI,M,BJP,67.98
2002,158,JHAGADIA,ST,VASAVA_CHHOTUBHAI,M,JD(U),69.12
2002,112,JHALOD,ST,KATARA_BHURABHAI_JETABHAI,M,BJP,55.28
2002,24,JODIYA,GEN,BHOJANI_PARSOTAMBHAI_NANJIBHAI,M,BJP,69.4
2002,82,JOTANA,SC,ISHWARBHAI_DHANABHAI_MAKWANA,M,BJP,67.24
2002,42,JUNAGADH,GEN,MASHROO_MAHENDRA_LILADHAR,M,BJP,49.39
2002,81,KADI,GEN,THAKOR_BALDEVJI_CHANDUJI,M,INC,79.38
2002,27,KALAWAD,GEN,FALDU_RANCHHODBHAI_CHANABHAI_(R.C._FALDU),M,BJP,64.69
2002,119,KALOL,GEN,CHAUHAN_PRABHATSINH_PRATAPSINH,M,BJP,73.07
2002,80,KALOL-I,GEN,DR._ATUL_K._PATEL,M,BJP,68.41
2002,71,KALUPUR,GEN,SHAIKH_MOHAMMED_FAROOQ_HUSAINMIYA_(FAROOQ,M,INC,74.98
2002,167,KAMREJ,ST,RATHOD_PRAVINBHAI_CHHAGANBHAI,M,BJP,64.96
